country,country_code,continent,population,indicator,weekly_count,year_week,rate_14_day,cumulative_count
Brazil,BRA,America,212559409,cases,0,2020-1,0.000000,0
Brazil,BRA,America,212559409,cases,0,2020-2,0.000000,0
Brazil,BRA,America,212559409,cases,0,2020-3,0.000000,0
Brazil,BRA,America,212559409,cases,0,2020-4,0.000000,0
Brazil,BRA,America,212559409,cases,0,2020-5,0.000000,0
Brazil,BRA,America,212559409,cases,0,2020-6,0.000000,0
Brazil,BRA,America,212559409,cases,0,2020-7,0.000000,0
Brazil,BRA,America,212559409,cases,0,2020-8,0.000000,0
Brazil,BRA,America,212559409,cases,2,2020-9,0.001000,2
Brazil,BRA,America,212559409,cases,23,2020-10,0.012000,25
Brazil,BRA,America,212559409,cases,175,2020-11,0.093000,200
Brazil,BRA,America,212559409,cases,1346,2020-12,0.716000,1546
Brazil,BRA,America,212559409,cases,2710,2020-13,1.908000,4256
Brazil,BRA,America,212559409,cases,6874,2020-14,4.509000,11130
Brazil,BRA,America,212559409,cases,11039,2020-15,8.427000,22169
Brazil,BRA,America,212559409,cases,16485,2020-16,12.949000,38654
Brazil,BRA,America,212559409,cases,23234,2020-17,18.686001,61888
Brazil,BRA,America,212559409,cases,39259,2020-18,29.400000,101147
Brazil,BRA,America,212559409,cases,61552,2020-19,47.426998,162699
Brazil,BRA,America,212559409,cases,78381,2020-20,65.832001,241080
Brazil,BRA,America,212559409,cases,122131,2020-21,94.332001,363211
Brazil,BRA,America,212559409,cases,151638,2020-22,128.796005,514849
Brazil,BRA,America,212559409,cases,176909,2020-23,154.567001,691758
Brazil,BRA,America,212559409,cases,175866,2020-24,165.964996,867624
Brazil,BRA,America,212559409,cases,217414,2020-25,185.020996,1085038
Brazil,BRA,America,212559409,cases,259105,2020-26,224.182007,1344143
Brazil,BRA,America,212559409,cases,258912,2020-27,243.705002,1603055
Brazil,BRA,America,212559409,cases,261626,2020-28,244.891006,1864681
Brazil,BRA,America,212559409,cases,233708,2020-29,233.033005,2098389
Brazil,BRA,America,212559409,cases,320702,2020-30,260.825989,2419091
Brazil,BRA,America,212559409,cases,314586,2020-31,298.876007,2733677
Brazil,BRA,America,212559409,cases,301745,2020-32,289.957001,3035422
Brazil,BRA,America,212559409,cases,304775,2020-33,285.341003,3340197
Brazil,BRA,America,212559409,cases,265586,2020-34,268.329987,3605783
Brazil,BRA,America,212559409,cases,256528,2020-35,245.632004,3862311
Brazil,BRA,America,212559409,cases,275210,2020-36,250.160004,4137521
Brazil,BRA,America,212559409,cases,192934,2020-37,220.240997,4330455
Brazil,BRA,America,212559409,cases,214174,2020-38,191.526993,4544629
Brazil,BRA,America,212559409,cases,187680,2020-39,189.054993,4732309
Brazil,BRA,America,212559409,cases,182980,2020-40,174.378998,4915289
Brazil,BRA,America,212559409,cases,179693,2020-41,170.621994,5094982
Brazil,BRA,America,212559409,cases,140362,2020-42,150.572006,5235344
Brazil,BRA,America,212559409,cases,158784,2020-43,140.735001,5394128
Brazil,BRA,America,212559409,cases,151577,2020-44,146.011002,5545705
Brazil,BRA,America,212559409,cases,118410,2020-45,127.016998,5664115
Brazil,BRA,America,212559409,cases,198978,2020-46,149.317001,5863093
Brazil,BRA,America,212559409,cases,208308,2020-47,191.610001,6071401
Brazil,BRA,America,212559409,cases,243339,2020-48,212.479996,6314740
Brazil,BRA,America,212559409,cases,288800,2020-49,250.348007,6603540
Brazil,BRA,America,212559409,cases,298412,2020-50,276.257996,6901952
Brazil,BRA,America,212559409,cases,361667,2020-51,310.539001,7263619
Brazil,BRA,America,212559409,cases,220666,2020-52,273.962006,7484285
Brazil,BRA,America,212559409,cases,249461,2020-53,221.173996,7733746
Brazil,BRA,America,212559409,cases,397866,2021-1,304.539001,8131612
Brazil,BRA,America,212559409,cases,380158,2021-2,366.027008,8511770
Brazil,BRA,America,212559409,cases,359623,2021-3,348.035004,8871393
Brazil,BRA,America,212559409,cases,357929,2021-4,337.576996,9229322
Brazil,BRA,America,212559409,cases,318757,2021-5,318.351013,9548079
Brazil,BRA,America,212559409,cases,318631,2021-6,299.863007,9866710
Brazil,BRA,America,212559409,cases,328450,2021-7,304.424011,10195160
