country,country_code,continent,population,indicator,weekly_count,year_week,rate_14_day,cumulative_count
Brazil,BRA,America,212559409,cases,0,2020-1,0.000000,0
Brazil,BRA,America,212559409,cases,0,2020-2,0.000000,0
Brazil,BRA,America,212559409,cases,0,2020-3,0.000000,0
Brazil,BRA,America,212559409,cases,0,2020-4,0.000000,0
Brazil,BRA,America,212559409,cases,0,2020-5,0.000000,0
Brazil,BRA,America,212559409,cases,0,2020-6,0.000000,0
Brazil,BRA,America,212559409,cases,0,2020-7,0.000000,0
Brazil,BRA,America,212559409,cases,0,2020-8,0.000000,0
Brazil,BRA,America,212559409,cases,2,2020-9,0.000941,2
Brazil,BRA,America,212559409,cases,23,2020-10,0.011761,25
Brazil,BRA,America,212559409,cases,175,2020-11,0.093150,200
Brazil,BRA,America,212559409,cases,1346,2020-12,0.715565,1546
Brazil,BRA,America,212559409,cases,2710,2020-13,1.908172,4256
Brazil,BRA,America,212559409,cases,6874,2020-14,4.508857,11130
Brazil,BRA,America,212559409,cases,11039,2020-15,8.427291,22169
Brazil,BRA,America,212559409,deaths,0,2020-1,0.000000,0
Brazil,BRA,America,212559409,deaths,0,2020-2,0.000000,0
Brazil,BRA,America,212559409,deaths,0,2020-3,0.000000,0
Brazil,BRA,America,212559409,deaths,0,2020-4,0.000000,0
Brazil,BRA,America,212559409,deaths,0,2020-5,0.000000,0
Brazil,BRA,America,212559409,deaths,0,2020-6,0.000000,0
Brazil,BRA,America,212559409,deaths,0,2020-7,0.000000,0
Brazil,BRA,America,212559409,deaths,0,2020-8,0.000000,0
Brazil,BRA,America,212559409,deaths,0,2020-9,0.000000,0
Brazil,BRA,America,212559409,deaths,0,2020-10,0.000000,0
Brazil,BRA,America,212559409,deaths,0,2020-11,0.000000,0
Brazil,BRA,America,212559409,deaths,25,2020-12,0.117614,25
Brazil,BRA,America,212559409,deaths,111,2020-13,0.639821,136
Brazil,BRA,America,212559409,deaths,350,2020-14,2.168805,486
Brazil,BRA,America,212559409,deaths,737,2020-15,5.113864,1223
China,CHN,Asia,1439323774,cases,59,2020-1,0.000000,59
China,CHN,Asia,1439323774,cases,0,2020-2,0.004099,59
China,CHN,Asia,1439323774,cases,176,2020-3,0.012228,235
China,CHN,Asia,1439323774,cases,2540,2020-4,0.188700,2775
China,CHN,Asia,1439323774,cases,14436,2020-5,1.179443,17211
China,CHN,Asia,1439323774,cases,22995,2020-6,2.600596,40206
China,CHN,Asia,1439323774,cases,30412,2020-7,3.710562,70618
China,CHN,Asia,1439323774,cases,6616,2020-8,2.572597,77234
China,CHN,Asia,1439323774,cases,2900,2020-9,0.661144,80134
China,CHN,Asia,1439323774,cases,725,2020-10,0.251854,80859
China,CHN,Asia,1439323774,cases,161,2020-11,0.061557,81020
China,CHN,Asia,1439323774,cases,464,2020-12,0.043423,81484
China,CHN,Asia,1439323774,cases,673,2020-13,0.078995,82157
China,CHN,Asia,1439323774,cases,485,2020-14,0.080454,82642
China,CHN,Asia,1439323774,cases,567,2020-15,0.073090,83209
China,CHN,Asia,1439323774,deaths,0,2020-1,0.000000,0
China,CHN,Asia,1439323774,deaths,1,2020-2,0.000695,1
China,CHN,Asia,1439323774,deaths,2,2020-3,0.002084,3
China,CHN,Asia,1439323774,deaths,78,2020-4,0.055582,81
China,CHN,Asia,1439323774,deaths,280,2020-5,0.248728,361
China,CHN,Asia,1439323774,deaths,548,2020-6,0.575270,909
China,CHN,Asia,1439323774,deaths,862,2020-7,0.979627,1771
China,CHN,Asia,1439323774,deaths,824,2020-8,1.171383,2595
China,CHN,Asia,1439323774,deaths,319,2020-9,0.794123,2914
China,CHN,Asia,1439323774,deaths,208,2020-10,0.366144,3122
China,CHN,Asia,1439323774,deaths,94,2020-11,0.209821,3216
China,CHN,Asia,1439323774,deaths,58,2020-12,0.105605,3274
China,CHN,Asia,1439323774,deaths,32,2020-13,0.062529,3306
China,CHN,Asia,1439323774,deaths,29,2020-14,0.042381,3335
China,CHN,Asia,1439323774,deaths,10,2020-15,0.027096,3345
Egypt,EGY,Africa,102334403,cases,0,2020-1,0.000000,0
Egypt,EGY,Africa,102334403,cases,0,2020-2,0.000000,0
